ativo;descricao
ABEV3.SA;Ambev S.A.
ALUP11.SA;Alupar Investimento S.A.
AMER3.SA;Americanas S.A. 
B3SA3.SA; Brasil, Bolsa, Balcão (B3SA3.SA)
BBAS3.SA;Banco do Brasil S.A. (BBAS3.SA)
CMIG4.SA;Companhia Energética de Minas Gerais
ENBR3.SA;EDP - Energias do Brasil S.A
EQTL3.SA;Equatorial Energia S.A.
ITSA4.SA;Itaúsa S.A.
ITUB4.SA;Itaú Unibanco Holding S.A.
JBSS3.SA;JBS S.A.
LREN3.SA;Lojas Renner S.A.
LVBI11.SA;Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund 
MGLU3.SA;Magazine Luiza S.A.
MLAS3.SA;Multilaser Industrial S.A.
MOVI3.SA;Movida Participações S.A. 
MULT3.SA;Multiplan Empreendimentos Imobiliários S.A
PETR4.SA;Petróleo Brasileiro S.A. - Petrobras
PSSA3.SA;Porto Seguro S.A.
QUAL3.SA;Qualicorp Consultoria e Corretora de Seguros S.A.
SUZB3.SA;Suzano S.A
VALE;Vale S.A. (VALE)
VIVT3.SA;Telefônica Brasil S.A.
VULC3.SA;Vulcabras S.A. 
BRL=X;Dolar USD/BRL
EURBRL=x;Euro EUR/BRL
GBPBRL=X;Libra GBP/BRL
VIIA3.SA;Via Varejo
